subjID,run,trial,phase,oriRef,oriJitt,oriFinal,oriRespInit,oriRespFinal,error,points,rt,outoftime,iti,oriRef2,oriFinal2,oriRespFinal2,oriFinal3,oriRespFinal3
1,1,148,2,4,5,140,179,156,-16,68,2.29893653599993,,0.2,135,140,156,5,21
1,1,149,9,2,1,46,126,31,15,70,3.04954417899989,,0.2,45,46,31,1,-14
1,1,150,10,1,-2,178,36,172,6,88,2.24812884399989,,0.2,0,-2,-8,-2,-8
1,1,151,7,3,9,99,99,99,0,100,0.735764225000139,,0.2,90,99,99,9,9
1,1,152,6,3,-1,89,36,87,2,96,3.01288893300011,,0.2,90,89,87,-1,-3
1,1,153,10,3,-4,86,104,86,0,100,3.46564149999995,,0.2,90,86,86,-4,-4
1,1,154,2,2,-8,37,153,24,13,74,2.43073466100009,,0.2,45,37,24,-8,-21
1,1,155,4,4,1,136,134,134,2,96,0.700066999000001,,0.2,135,136,134,1,-1
1,1,156,8,3,-8,82,119,78,4,92,2.39795995299983,,0.2,90,82,78,-8,-12
1,1,157,9,3,-2,88,147,84,4,92,2.99781550800003,,0.2,90,88,84,-2,-6
1,1,158,5,2,-9,36,116,28,8,84,3.61198873400008,,0.2,45,36,28,-9,-17
1,1,159,1,1,5,5,20,5,0,100,2.86428028299997,,0.2,0,5,5,5,5
1,1,160,2,1,2,2,178,3,-1,98,1.14801598400004,,0.2,0,2,3,2,3
2,1,1,4,4,-5,130,137,134,-4,92,0.799323067010846,,0.2,135,130,134,-5,-1
2,1,2,1,4,-3,132,85,118,14,72,1.07919031899655,,0.2,135,132,118,-3,-17
2,1,3,6,3,9,99,128,106,-7,86,1.11412189700059,,0.2,90,99,106,9,16
2,1,5,9,3,-8,82,152,85,-3,94,2.54917143800412,,0.2,90,82,85,-8,-5
2,1,6,3,1,-5,175,58,161,14,72,2.14842371499981,,0.2,0,-5,-19,-5,-19
2,1,7,9,1,-9,171,43,172,-1,98,2.083912623988,,0.2,0,-9,-8,-9,-8
2,1,8,3,1,-5,175,143,171,4,92,1.59682484500809,,0.2,0,-5,-9,-5,-9
2,1,9,7,1,-8,172,120,166,6,88,2.29642512300052,,0.2,0,-8,-14,-8,-14
2,1,10,4,2,-6,39,27,37,2,96,1.69889125198824,,0.2,45,39,37,-6,-8
2,1,11,5,3,-5,85,175,86,-1,98,3.61991565200151,,0.2,90,85,86,-5,-4
